Var_Name,Imp,ABS,norm
O_Rank,-0.004982494587714186,0.004982494587714186,0.0824256873577659
O_Points_For,0.021740160988264957,0.021740160988264957,0.3596487023076359
O_Total_Yards,0.0006730085704489796,0.0006730085704489796,0.01113361851986957
O_Y/Play,-0.010862353591323355,0.010862353591323355,0.17969652456736082
O_TO,-0.014383150425205415,0.014383150425205415,0.2379412640188313
O_1st_D,0.034872914835591975,0.034872914835591975,0.5769045856226804
O_P_Completions,0.006573939384159717,0.006573939384159717,0.10875304786557574
O_P_Yards,0.0070432239553684505,0.0070432239553684505,0.11651644884219778
O_P_TD,0.013253341921003248,0.013253341921003248,0.21925077857984243
O_P_Int,-0.025271540802560125,0.025271540802560125,0.4180685165975207
O_P_Y/PA,0.0066018217211002254,0.0066018217211002254,0.10921430692908364
O_P_Passing_1st_D,0.0024670880772038007,0.0024670880772038007,0.04081317640306031
O_R_Yards,-0.011754414061167603,0.011754414061167603,0.19445393094225394
O_R_TD,-1.581304546388125e-06,1.581304546388125e-06,2.6159609782496007e-05
O_R_Y/A,-0.03385804423884181,0.03385804423884181,0.5601155244318092
O_R_1st_D,0.029195246647628615,0.029195246647628615,0.4829786024141571
O_Pe,-0.020937674380732164,0.020937674380732164,0.3463731213598124
O_Pe_Yards,0.01574193667377079,0.01574193667377079,0.2604197411227398
O_Scoring_Drives,0.06044832317973688,0.06044832317973688,1.0
D_Rank,-0.040705176881490335,0.040705176881490335,0.6733880236918677
D_Points_Allowed,-0.029454669254155706,0.029454669254155706,0.48727024514104833
D_Total_Yards,-0.0048915302398024555,0.0048915302398024555,0.0809208590494395
D_Y/Play,-0.030603991461802364,0.030603991461802364,0.5062835468703497
D_TD,0.015066585014318122,0.015066585014318122,0.24924736075009357
D_Fumbles_Lost,-0.014208792320266983,0.014208792320266983,0.23505684811171018
D_1st_D,0.0371405160709699,0.0371405160709699,0.6144176400151976
D_P_Completions,0.007757489001469105,0.007757489001469105,0.12833257555222843
D_P_Yards,-0.006460699812516304,0.006460699812516304,0.10687971928197373
D_P_TD,-0.027935022725997686,0.027935022725997686,0.4621306474116042
D_P_Int,0.03140556001429993,0.03140556001429993,0.5195439403822455
D_P_Y/PA,-0.025207022389178338,0.025207022389178338,0.41700118486707805
D_P_Passing_1st_D,-0.0029073689735299676,0.0029073689735299676,0.04809676795971998
D_R_Yards,0.000677303101636792,0.000677303101636792,0.011204663190125237
D_R_TD,-0.008244935830329652,0.008244935830329652,0.13639643577563237
D_R_Y/A,-0.022984741797620934,0.022984741797620934,0.38023787242663726
D_R_1st_D,0.02970527216797345,0.02970527216797345,0.4914159831968849
D_Pe,-0.01602549531403133,0.01602549531403133,0.26511066760911073
D_Pe_Yards,-0.0264107542169826,0.0264107542169826,0.43691458799366417
D_Scoring_Drives,0.030226282862634218,0.030226282862634218,0.5000350923343145
